Reference accuracy = 9240
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	997
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010111
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1081
	Unmasking layers accuracy = 	991
	CompensatedBias accuracy = 	990
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1008
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000001
	BaseLine accuracy = 	7438
	RangeCorrect accuracy = 	6566
	Unmasking layers accuracy = 	7577
	CompensatedBias accuracy = 	8125
	LayerUnmasked+CompensatedBias accuracy = 	8190
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000010
	BaseLine accuracy = 	1258
	RangeCorrect accuracy = 	3262
	Unmasking layers accuracy = 	1311
	CompensatedBias accuracy = 	3112
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	5343
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000011
	BaseLine accuracy = 	1851
	RangeCorrect accuracy = 	7417
	Unmasking layers accuracy = 	1981
	CompensatedBias accuracy = 	3933
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	8150
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000100
	BaseLine accuracy = 	1438
	RangeCorrect accuracy = 	1052
	Unmasking layers accuracy = 	1760
	CompensatedBias accuracy = 	3629
	LayerUnmasked+CompensatedBias accuracy = 	4094
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000101
	BaseLine accuracy = 	1297
	RangeCorrect accuracy = 	1073
	Unmasking layers accuracy = 	1569
	CompensatedBias accuracy = 	3682
	LayerUnmasked+CompensatedBias accuracy = 	4103
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000110
	BaseLine accuracy = 	3236
	RangeCorrect accuracy = 	1950
	Unmasking layers accuracy = 	3291
	CompensatedBias accuracy = 	4779
	LayerUnmasked+CompensatedBias accuracy = 	4868
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00000111
	BaseLine accuracy = 	7621
	RangeCorrect accuracy = 	3339
	Unmasking layers accuracy = 	7698
	CompensatedBias accuracy = 	8533
	LayerUnmasked+CompensatedBias accuracy = 	8652
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001000
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1012
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	980
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1259
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001001
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1008
	LayerUnmasked+CompensatedBias accuracy = 	1007
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001010
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1002
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1012
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1686
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001011
	BaseLine accuracy = 	1015
	RangeCorrect accuracy = 	1011
	Unmasking layers accuracy = 	1735
	CompensatedBias accuracy = 	1101
	LayerUnmasked+CompensatedBias accuracy = 	1185
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001100
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	939
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1315
	LayerUnmasked+CompensatedBias accuracy = 	1341
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001101
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1025
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	2455
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	3270
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001110
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1002
	CompensatedBias accuracy = 	1430
	LayerUnmasked+CompensatedBias accuracy = 	1541
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00001111
	BaseLine accuracy = 	853
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	955
	CompensatedBias accuracy = 	905
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1008
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.MOD_ROUND_UP	 Mask: 00010000
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1004
	Unmasking layers accuracy = 	1000
