QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000100	 RangeCorrection:False	 Correct: 976	 Accuracy: 0.0976
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000100	 RangeCorrection:True	 Correct: 1011	 Accuracy: 0.1011
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000011	 RangeCorrection:False	 Correct: 971	 Accuracy: 0.0971
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000011	 RangeCorrection:True	 Correct: 1014	 Accuracy: 0.1014
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000010	 RangeCorrection:False	 Correct: 974	 Accuracy: 0.0974
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000010	 RangeCorrection:True	 Correct: 1009	 Accuracy: 0.1009
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000001	 RangeCorrection:False	 Correct: 982	 Accuracy: 0.0982
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000001	 RangeCorrection:True	 Correct: 1010	 Accuracy: 0.101
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000000	 RangeCorrection:False	 Correct: 981	 Accuracy: 0.0981
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01000000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00111000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110110	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110110	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110101	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110101	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110011	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110011	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00110001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
