Reference accuracy = 9148
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001100	 RangeCorrection:True	 Correct: 1196	 Accuracy: 0.1196
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001011	 RangeCorrection:False	 Correct: 1110	 Accuracy: 0.111
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001011	 RangeCorrection:True	 Correct: 1173	 Accuracy: 0.1173
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001010	 RangeCorrection:False	 Correct: 964	 Accuracy: 0.0964
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001010	 RangeCorrection:True	 Correct: 1161	 Accuracy: 0.1161
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001001	 RangeCorrection:False	 Correct: 1005	 Accuracy: 0.1005
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001001	 RangeCorrection:True	 Correct: 805	 Accuracy: 0.0805
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001000	 RangeCorrection:False	 Correct: 1141	 Accuracy: 0.1141
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001000	 RangeCorrection:True	 Correct: 759	 Accuracy: 0.0759
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000111	 RangeCorrection:False	 Correct: 1138	 Accuracy: 0.1138
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000111	 RangeCorrection:True	 Correct: 811	 Accuracy: 0.0811
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000110	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000110	 RangeCorrection:True	 Correct: 755	 Accuracy: 0.0755
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000101	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10000101	 RangeCorrection:True	 Correct: 720	 Accuracy: 0.072
