Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 7 [30000/50000 (60%)]	Loss: 0.724534	Accuracy: 0.8
Train Epoch: 7 [32500/50000 (65%)]	Loss: 0.677169	Accuracy: 0.78
Train Epoch: 7 [35000/50000 (70%)]	Loss: 0.791427	Accuracy: 0.72
Train Epoch: 7 [37500/50000 (75%)]	Loss: 0.769280	Accuracy: 0.68
Train Epoch: 7 [40000/50000 (80%)]	Loss: 0.841688	Accuracy: 0.72
Train Epoch: 7 [42500/50000 (85%)]	Loss: 0.818074	Accuracy: 0.76
Train Epoch: 7 [45000/50000 (90%)]	Loss: 0.682891	Accuracy: 0.78
Train Epoch: 7 [47500/50000 (95%)]	Loss: 0.857870	Accuracy: 0.68

Test set: Epoch: 7 Average loss: 15.1782, Accuracy: 5932/10000 (59%)

Best acc:63.76

Train Epoch: 8 [0/50000 (0%)]	Loss: 0.543102	Accuracy: 0.82
Train Epoch: 8 [2500/50000 (5%)]	Loss: 0.723971	Accuracy: 0.72
Train Epoch: 8 [5000/50000 (10%)]	Loss: 1.146522	Accuracy: 0.56
Train Epoch: 8 [7500/50000 (15%)]	Loss: 0.827245	Accuracy: 0.7
Train Epoch: 8 [10000/50000 (20%)]	Loss: 0.737650	Accuracy: 0.78
Train Epoch: 8 [12500/50000 (25%)]	Loss: 0.682951	Accuracy: 0.76
Train Epoch: 8 [15000/50000 (30%)]	Loss: 0.682933	Accuracy: 0.74
Train Epoch: 8 [17500/50000 (35%)]	Loss: 0.841769	Accuracy: 0.7
Train Epoch: 8 [20000/50000 (40%)]	Loss: 0.735226	Accuracy: 0.76
Train Epoch: 8 [22500/50000 (45%)]	Loss: 0.487735	Accuracy: 0.9
Train Epoch: 8 [25000/50000 (50%)]	Loss: 0.829237	Accuracy: 0.74
Train Epoch: 8 [27500/50000 (55%)]	Loss: 0.866422	Accuracy: 0.68
Train Epoch: 8 [30000/50000 (60%)]	Loss: 0.834119	Accuracy: 0.72
Train Epoch: 8 [32500/50000 (65%)]	Loss: 0.745283	Accuracy: 0.74
Train Epoch: 8 [35000/50000 (70%)]	Loss: 0.816932	Accuracy: 0.74
Train Epoch: 8 [37500/50000 (75%)]	Loss: 0.912762	Accuracy: 0.66
Train Epoch: 8 [40000/50000 (80%)]	Loss: 0.805123	Accuracy: 0.7
Train Epoch: 8 [42500/50000 (85%)]	Loss: 0.729507	Accuracy: 0.76
Train Epoch: 8 [45000/50000 (90%)]	Loss: 0.846882	Accuracy: 0.72
Train Epoch: 8 [47500/50000 (95%)]	Loss: 0.776991	Accuracy: 0.72

Test set: Epoch: 8 Average loss: 14.2086, Accuracy: 6713/10000 (67%)

Best acc:67.13

Train Epoch: 9 [0/50000 (0%)]	Loss: 0.875304	Accuracy: 0.74
Train Epoch: 9 [2500/50000 (5%)]	Loss: 0.606688	Accuracy: 0.84
Train Epoch: 9 [5000/50000 (10%)]	Loss: 0.627809	Accuracy: 0.74
Train Epoch: 9 [7500/50000 (15%)]	Loss: 0.650920	Accuracy: 0.74
Train Epoch: 9 [10000/50000 (20%)]	Loss: 0.811803	Accuracy: 0.72
Train Epoch: 9 [12500/50000 (25%)]	Loss: 0.678946	Accuracy: 0.78
Train Epoch: 9 [15000/50000 (30%)]	Loss: 0.915039	Accuracy: 0.72
Train Epoch: 9 [17500/50000 (35%)]	Loss: 0.460497	Accuracy: 0.84
Train Epoch: 9 [20000/50000 (40%)]	Loss: 1.037245	Accuracy: 0.68
Train Epoch: 9 [22500/50000 (45%)]	Loss: 0.780814	Accuracy: 0.62
Train Epoch: 9 [25000/50000 (50%)]	Loss: 0.886986	Accuracy: 0.68
Train Epoch: 9 [27500/50000 (55%)]	Loss: 0.513231	Accuracy: 0.78
Train Epoch: 9 [30000/50000 (60%)]	Loss: 0.847692	Accuracy: 0.78
Train Epoch: 9 [32500/50000 (65%)]	Loss: 0.649544	Accuracy: 0.76
Train Epoch: 9 [35000/50000 (70%)]	Loss: 0.650313	Accuracy: 0.82
Train Epoch: 9 [37500/50000 (75%)]	Loss: 1.024091	Accuracy: 0.62
Train Epoch: 9 [40000/50000 (80%)]	Loss: 0.917227	Accuracy: 0.68
Train Epoch: 9 [42500/50000 (85%)]	Loss: 0.733510	Accuracy: 0.72
Train Epoch: 9 [45000/50000 (90%)]	Loss: 0.602927	Accuracy: 0.72
Train Epoch: 9 [47500/50000 (95%)]	Loss: 0.739685	Accuracy: 0.8

Test set: Epoch: 9 Average loss: 13.0881, Accuracy: 6093/10000 (61%)

Best acc:67.13

Train Epoch: 10 [0/50000 (0%)]	Loss: 0.717026	Accuracy: 0.72
Train Epoch: 10 [2500/50000 (5%)]	Loss: 0.795087	Accuracy: 0.7
Train Epoch: 10 [5000/50000 (10%)]	Loss: 0.687299	Accuracy: 0.74
Train Epoch: 10 [7500/50000 (15%)]	Loss: 0.587730	Accuracy: 0.82
Train Epoch: 10 [10000/50000 (20%)]	Loss: 0.492829	Accuracy: 0.8
Train Epoch: 10 [12500/50000 (25%)]	Loss: 0.715506	Accuracy: 0.78
Train Epoch: 10 [15000/50000 (30%)]	Loss: 0.623878	Accuracy: 0.84
Train Epoch: 10 [17500/50000 (35%)]	Loss: 0.964412	Accuracy: 0.66
Train Epoch: 10 [20000/50000 (40%)]	Loss: 0.754382	Accuracy: 0.72
Train Epoch: 10 [22500/50000 (45%)]	Loss: 0.627822	Accuracy: 0.78
Train Epoch: 10 [25000/50000 (50%)]	Loss: 0.849445	Accuracy: 0.74
Train Epoch: 10 [27500/50000 (55%)]	Loss: 0.911654	Accuracy: 0.76
Train Epoch: 10 [30000/50000 (60%)]	Loss: 1.088337	Accuracy: 0.72
Train Epoch: 10 [32500/50000 (65%)]	Loss: 0.666538	Accuracy: 0.7
Train Epoch: 10 [35000/50000 (70%)]	Loss: 0.581216	Accuracy: 0.76
Train Epoch: 10 [37500/50000 (75%)]	Loss: 0.645653	Accuracy: 0.78
Train Epoch: 10 [40000/50000 (80%)]	Loss: 0.578261	Accuracy: 0.82
Train Epoch: 10 [42500/50000 (85%)]	Loss: 0.781249	Accuracy: 0.68
Train Epoch: 10 [45000/50000 (90%)]	Loss: 0.602930	Accuracy: 0.76
Train Epoch: 10 [47500/50000 (95%)]	Loss: 0.669025	Accuracy: 0.74

Test set: Epoch: 10 Average loss: 18.0279, Accuracy: 6041/10000 (60%)

Best acc:67.13

Train Epoch: 11 [0/50000 (0%)]	Loss: 0.578885	Accuracy: 0.8
Train Epoch: 11 [2500/50000 (5%)]	Loss: 0.646591	Accuracy: 0.76
Train Epoch: 11 [5000/50000 (10%)]	Loss: 0.766104	Accuracy: 0.76
Train Epoch: 11 [7500/50000 (15%)]	Loss: 0.685073	Accuracy: 0.78
Train Epoch: 11 [10000/50000 (20%)]	Loss: 0.605799	Accuracy: 0.78
Train Epoch: 11 [12500/50000 (25%)]	Loss: 0.583578	Accuracy: 0.8
Train Epoch: 11 [15000/50000 (30%)]	Loss: 0.876578	Accuracy: 0.68
Train Epoch: 11 [17500/50000 (35%)]	Loss: 0.553753	Accuracy: 0.8
Train Epoch: 11 [20000/50000 (40%)]	Loss: 0.485935	Accuracy: 0.82
Train Epoch: 11 [22500/50000 (45%)]	Loss: 0.591344	Accuracy: 0.74
Train Epoch: 11 [25000/50000 (50%)]	Loss: 0.500299	Accuracy: 0.84
Train Epoch: 11 [27500/50000 (55%)]	Loss: 0.511990	Accuracy: 0.78
Train Epoch: 11 [30000/50000 (60%)]	Loss: 0.614278	Accuracy: 0.8
Train Epoch: 11 [32500/50000 (65%)]	Loss: 0.672975	Accuracy: 0.78
Train Epoch: 11 [35000/50000 (70%)]	Loss: 0.555858	Accuracy: 0.84
Train Epoch: 11 [37500/50000 (75%)]	Loss: 0.722424	Accuracy: 0.72
Train Epoch: 11 [40000/50000 (80%)]	Loss: 0.529098	Accuracy: 0.82
Train Epoch: 11 [42500/50000 (85%)]	Loss: 0.705614	Accuracy: 0.72
